epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,4920.34,1.28865,0.89059,1.0128,0.73048,0.72295,0.70532,0.47033,1.14365,0.77012,0.94093,0.00467206,0.00467206,0.00467206
55,5010.54,1.27269,0.84297,0.99816,0.79408,0.64037,0.73381,0.49374,1.15269,0.77032,0.93844,0.00466587,0.00466587,0.00466587
56,5101.32,1.29501,0.81233,1.00869,0.73597,0.61596,0.68423,0.43919,1.2654,1.55982,1.01516,0.00465969,0.00465969,0.00465969
57,5190.73,1.45339,1.18116,1.24806,0.63282,0.61218,0.63468,0.40878,1.29549,1.99638,1.01687,0.0046535,0.0046535,0.0046535
58,5279.75,1.34041,0.90388,1.05146,0.61165,0.7605,0.70387,0.46253,1.2302,1.02026,0.9759,0.00464731,0.00464731,0.00464731
59,5368.45,1.35619,0.93228,1.03526,0.59048,0.72568,0.71747,0.47524,1.16255,0.88424,0.9524,0.00464113,0.00464113,0.00464113
60,5458.43,1.26788,0.86461,1.01567,0.79251,0.54561,0.62159,0.42005,1.13056,1.15303,0.92225,0.00463494,0.00463494,0.00463494
61,5549.61,1.1815,1.63335,0.93256,0.75855,0.64648,0.7102,0.50398,1.122,0.74144,0.92232,0.00462875,0.00462875,0.00462875
62,5638.91,1.24409,1.16865,1.02835,0.7221,0.65181,0.66749,0.45651,1.16719,0.82157,0.9543,0.00462256,0.00462256,0.00462256
63,5729,1.26585,0.79395,0.99517,0.74278,0.65648,0.6858,0.45742,1.14435,1.0657,0.94243,0.00461637,0.00461637,0.00461637
64,5818.7,1.24209,0.85202,0.99454,0.82958,0.69682,0.76694,0.51496,1.17013,0.72303,0.9345,0.00461019,0.00461019,0.00461019
65,5909.9,1.2793,0.80383,0.97848,0.7304,0.56865,0.71485,0.45152,1.46831,1.09079,1.03036,0.004604,0.004604,0.004604
66,6000.5,1.3001,0.91026,1.0204,0.75949,0.73187,0.76269,0.49366,1.15924,0.728,0.93219,0.00459781,0.00459781,0.00459781
67,6091.58,1.27168,0.85136,0.99655,0.74902,0.71962,0.69598,0.47497,1.20039,0.81428,0.95237,0.00459163,0.00459163,0.00459163
68,6183.04,1.27242,0.92606,1.00819,0.79326,0.7038,0.74712,0.50621,1.09883,0.69953,0.91696,0.00458544,0.00458544,0.00458544
69,6273.98,1.27165,0.81254,1.01323,0.79606,0.74964,0.79381,0.54001,1.13515,0.70608,0.9334,0.00457925,0.00457925,0.00457925
70,6366,1.33352,0.91598,1.01031,0.83558,0.72508,0.78548,0.52929,1.15347,0.69844,0.94464,0.00457306,0.00457306,0.00457306
71,6458.05,1.28384,0.81047,0.98806,0.66751,0.83071,0.77043,0.52309,1.189,0.76512,0.94063,0.00456687,0.00456687,0.00456687
72,6545.94,1.25677,0.84551,1.00553,0.69304,0.6913,0.75349,0.50458,1.09996,0.73557,0.92041,0.00456069,0.00456069,0.00456069
73,6637.86,1.27005,0.78472,0.99,0.7105,0.59669,0.64034,0.42879,1.22401,0.91236,0.96075,0.0045545,0.0045545,0.0045545
74,6728.67,1.27629,0.94944,1.07504,0.70598,0.67026,0.73978,0.49587,1.08658,0.72068,0.92559,0.00454831,0.00454831,0.00454831
75,6815.92,1.29725,0.8085,1.02002,0.7879,0.63881,0.7238,0.48622,1.11042,0.71575,0.93503,0.00454213,0.00454213,0.00454213
76,6905.43,1.24798,0.7514,0.99687,0.8542,0.69547,0.77655,0.53625,1.14853,0.80603,0.9286,0.00453594,0.00453594,0.00453594
